# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
Kepler-490 b,,,,,,,1.039,0.123,0.294,3.26869515,2.3E-07,2.3E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-490,1249,,,-0.02,0.177,0.132,1.08,0.07,0.1,1.12,0.13,0.32,3.47,-1.71,1.8,6045,126.76,142.42
Kepler-491 b,,,,,,,0.796,0.045,0.071,4.22538451,2.7E-07,2.7E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-491,657,,,0.37,0.053,0.049,1.04,0.03,0.03,1.03,0.06,0.09,4.47,-2.43,2.26,5582,61.11,53.81
Kepler-492 b,39.9,1,1,,,,0.856,0.054,0.107,11.72012266,1.53E-06,1.53E-06,0.0987,0.0013,0.0013,0.031,0.031,0,88.456,0.055,0.055,2016,263,230,61,,,,,,,,Primary Transit,Kepler-492,642,45.08,81.55,0.07,0.149,0.15,0.94,0.05,0.04,0.91,0.06,0.11,4.57,-2.88,5.16,5527,124.59,85.37
Kepler-493 b,,,,,,,1.35,0.227,0.446,3.00387658,9.9E-07,9.9E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-493,1942,,,0.11,0.133,0.153,1.36,0.14,0.16,1.54,0.26,0.51,2,-0.533,0.721,6457,229.75,210.24
Kepler-494 b,,,,,,,0.637,0.089,0.118,8.02511821,2.27E-06,2.27E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-494,862,,,0.02,0.099,0.084,1.1,0.06,0.07,1.26,0.18,0.23,4.79,-1.74,1.41,6007,100.66,105.19
Kepler-495 b,,,,,,,0.467,0.03,0.037,3.41303622,6E-07,6E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-495,630,,,-0.07,0.173,0.153,0.86,0.05,0.04,0.83,0.05,0.07,4.37,-2.7,5.96,5346,91.17,128.17
Kepler-496 b,,,,,,,0.207,0.012,0.017,8.30864937,1.09E-05,1.09E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-496,655,,,-0.03,0.172,0.149,0.86,0.05,0.04,0.82,0.05,0.06,4.57,-2.8,6.27,5293,98.03,81.95
Kepler-497 b,,,,,,,0.539,0.059,0.141,3.57320367,9.1E-07,9.1E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-497,1070,,,0.24,0.175,0.113,1.09,0.06,0.1,1.11,0.12,0.29,3.55,-1.94,1.87,5834,141.15,110.98
Kepler-498 b,,,,,,,0.27,0.03,0.045,9.61375356,1.173E-05,1.173E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-498,746,,,-0.04,0.175,0.145,0.98,0.06,0.06,0.96,0.08,0.16,3.89,-2.2,3.61,5744,96.94,144.47
Kepler-499 b,,,,,,,0.194,0.014,0.022,5.63252845,5.75E-06,5.75E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-499,523,,,0,0.173,0.148,0.87,0.05,0.05,0.83,0.05,0.07,4.57,-2.85,6.34,5312,145.28,140.65
Kepler-5 b,2.111,0.086,0.067,,,,1.426,0.051,0.036,3.5484657,7E-07,7E-07,0.0538,0.0021,0.0015,0,,,89.14,0.32,0.44,2009,,,,,,,,,,,Primary Transit,Kepler-5,923.41,17.22,17.22,0.04,0.06,0.06,1.37,0.06,0.04,1.79,0.06,0.04,,,,6297,60,60
Kepler-50 b,0.1,0.1,0,,,,0.153,0.009,0.004,7.81254,0.0001,0.0001,0.077,0.02,0.012,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-50,251.91,1.87,1.87,0.03,0.06,0.06,1.24,0.05,0.05,1.58,0.02,0.02,3.8,0.8,0.8,6225,66,66
Kepler-50 c,0.11,0.11,0,,,,0.194,0.007,0.006,9.37647,4E-05,4E-05,0.087,0.023,0.014,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-50,251.91,1.87,1.87,0.03,0.06,0.06,1.24,0.05,0.05,1.58,0.02,0.02,3.8,0.8,0.8,6225,66,66
Kepler-500 b,,,,,,,0.23,0.015,0.022,8.5083244,9.11E-06,9.11E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-500,747,,,0.03,0.101,0.092,1.02,0.04,0.04,1.03,0.07,0.1,4.37,-2.29,2.57,5813,97.3,100.75
Kepler-501 b,,,,,,,0.384,0.041,0.062,5.64067757,3.78E-06,3.78E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-501,1044,,,-0.03,0.171,0.14,1.03,0.06,0.08,1.04,0.1,0.17,3.31,-1.69,2.65,5904,126.78,207.83
Kepler-502 b,,,,,,,0.426,0.059,0.13,4.28686431,3.22E-06,3.22E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-502,1433,,,0.05,0.155,0.138,1.15,0.09,0.13,1.22,0.16,0.37,3.09,-1.34,1.31,6125,154.49,113.77
Kepler-504 b,,,,,,,0.142,0.02,0.016,9.54927542,4.99E-06,4.99E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-504,75,,,-0.31,0.047,0.051,0.33,0.02,0.02,0.33,0.02,0.02,4.17,-2.58,6.1,3519,19.67,19.31
Kepler-505 b,,,,,,,0.232,0.008,0.01,27.52197994,3.295E-05,3.295E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-505,222,,,-0.19,0.084,0.089,0.55,0.02,0.02,0.53,0.02,0.02,3.16,-1.59,4.53,3931,40.61,48.32
Kepler-506 b,,,,,,,0.244,0.005,0.005,6.8834055,3.15E-06,3.15E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-506,231,,,0.09,0.086,0.081,1.19,0.03,0.03,1.19,0.02,0.02,1.74,-0.407,0.543,6236,58.08,57.77
Kepler-507 b,,,,,,,0.116,0.015,0.021,3.56809693,7.07E-06,7.07E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-507,410,,,0.06,0.076,0.081,1.16,0.05,0.07,1.32,0.17,0.24,3.8,-1.26,0.96,6113,67.92,66.08
Kepler-508 b,,,,,,,0.146,0.017,0.023,25.30889748,5.747E-05,5.747E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-508,325,,,0.18,0.087,0.091,1.16,0.05,0.06,1.25,0.12,0.2,3.55,-1.58,1.19,6025,99.94,95.04
Kepler-509 b,,,,,,,0.222,0.005,0.005,41.74600392,4.444E-05,4.444E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-509,339,,,0.01,0.083,0.083,1.1,0.04,0.04,1.2,0.03,0.03,4.27,-0.76,0.8,6060,63.4,69.98
Kepler-51 b,0.007,0.003,0.005,,,,0.633,0.027,0.027,45.154,0.0002,0.0002,0.2514,0.0097,0.0097,0.04,0.01,0.01,,,,2012,,,,,,,,,,,Primary Transit,Kepler-51,801.76,13.96,13.96,,,,1.04,0.12,0.12,0.94,0.5,0.5,0.3,-2.3,2.3,6018,107,107
Kepler-51 c,0.013,0.001,0.001,,,,0.803,0.152,0.25,85.312,0.002,0.003,0.384,0.015,0.015,0.014,0.009,0.013,,,,2012,,,,,,,,,,,Primary Transit,Kepler-51,801.76,13.96,13.96,,,,1.04,0.12,0.12,0.94,0.5,0.5,0.3,-2.3,2.3,6018,107,107
Kepler-51 d,0.024,0.003,0.003,,,,0.865,0.045,0.045,130.194,0.005,0.002,0.509,0.02,0.02,0.008,0.008,0.011,,,,2014,,,,,,,,,,,Primary Transit,Kepler-51,801.76,13.96,13.96,,,,1.04,0.12,0.12,0.94,0.5,0.5,0.3,-2.3,2.3,6018,107,107
Kepler-510 b,,,,,,,0.22,0.011,0.021,19.55659418,3.606E-05,3.606E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-510,378,,,-0.35,0.079,0.095,0.91,0.05,0.06,1.41,0.05,0.06,10.47,-2.1,2.3,5746,58.76,66.6
Kepler-511 b,,,,,,,0.567,0.091,0.125,296.637865,0.0004472,0.0004472,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-511,448,,,0.01,0.153,0.071,1,0.06,0.06,1.2,0.19,0.32,7.94,-1.99,1.3,5770,56.66,52.35
Kepler-512 b,,,,,,,0.24,0.028,0.044,34.43587975,8.258E-05,8.258E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-512,531,,,0.22,0.076,0.082,1.17,0.05,0.07,1.3,0.15,0.24,3.72,-1.5,1,5997,67.77,75.84
Kepler-513 b,,,,,,,0.196,0.018,0.028,28.86235584,6.735E-05,6.735E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-513,467,,,-0.01,0.112,0.096,1.02,0.04,0.04,1.06,0.1,0.15,5.5,-3.01,1.9,5849,55.43,61.71
Kepler-514 b,,,,,,,0.153,0.017,0.025,5.65179605,1.087E-05,1.087E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-514,489,,,0.36,0.071,0.067,1.28,0.05,0.07,1.44,0.16,0.23,2.69,-0.901,0.5,6106,68.2,72.75
Kepler-515 b,,,,,,,0.13,0.004,0.005,19.96371318,5.659E-05,5.659E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-515,255,,,0.08,0.112,0.139,0.9,0.03,0.03,0.83,0.03,0.03,3.39,-1.77,3.43,5293,61.29,49.66
Kepler-516 b,,,,,,,0.512,0.103,0.128,24.85462415,2.819E-05,2.819E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-516,777,,,0.01,0.159,0.157,1.62,0.17,0.18,2.02,0.41,0.5,1.32,-0.19,0.28,7099,234.72,172.5
Kepler-517 b,,,,,,,0.238,0.02,0.029,60.92832271,7.053E-05,7.053E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-517,284,,,-0.06,0.115,0.106,0.95,0.04,0.04,0.98,0.08,0.12,6.31,-3.81,3.15,5690,68.99,85.16
Kepler-518 b,,,,,,,0.188,0.004,0.004,8.51203588,4.5E-06,4.5E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-518,324,,,-0.23,0.083,0.079,0.96,0.02,0.02,0.88,0.02,0.02,1.35,-0.24,0.47,5842,51.77,57.63
Kepler-519 b,,,,,,,0.187,0.004,0.005,24.3078946,2.446E-05,2.446E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-519,234,,,0.01,0.091,0.092,0.89,0.03,0.02,0.8,0.01,0.01,1.91,-0.602,1.26,5260,70.24,74.38
Kepler-52 b,8.7,8.7,0,,,,0.187,,,7.8773565,3.8E-05,3.8E-05,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-52,324.54,2.43,2.43,,,,0.54,,,0.56,0.02,0.02,,,,4263,100,100
Kepler-52 c,10.41, ,0,,,,0.164,,,16.3850021,0.00014,0.00014,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-52,324.54,2.43,2.43,,,,0.54,,,0.56,0.02,0.02,,,,4263,100,100
Kepler-52 d,,,,,,,0.174,0.019,0.019,36.445171,0.000253,0.000253,0.182,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-52,324.54,2.43,2.43,,,,0.54,,,0.56,0.02,0.02,,,,4263,100,100
Kepler-520 b,,,,,,,0.148,0.009,0.025,19.67416124,5.245E-05,5.245E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-520,492,,,-0.03,0.099,0.094,1.1,0.04,0.04,1.09,0.05,0.05,2.04,-0.619,1.07,6112,60.87,68.96
Kepler-520 c,,,,,,,0.095,0.004,0.006,5.21104261,1.231E-05,1.231E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-520,492,,,-0.03,0.099,0.094,1.1,0.04,0.04,1.09,0.05,0.05,2.04,-0.619,1.07,6112,60.87,68.96
Kepler-521 b,,,,,,,0.284,0.021,0.028,22.20813214,4.013E-05,4.013E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-521,737,,,0.25,0.084,0.078,1.34,0.06,0.06,1.46,0.11,0.14,1.78,-0.499,0.632,6406,86.67,90.67
Kepler-522 b,,,,,,,0.616,0.108,0.134,38.58422849,4.568E-05,4.568E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-522,749,,,0.41,0.039,0.038,1.54,0.11,0.14,1.98,0.35,0.43,1.7,-0.25,0.23,6392,64.51,72.53
Kepler-523 b,,,,,,,0.175,0.005,0.007,5.83598311,4.66E-06,4.66E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-523,270,,,-0.03,0.109,0.095,0.93,0.03,0.03,0.86,0.03,0.02,2.45,-1.02,1.76,5515,48.73,51.74
Kepler-524 b,,,,,,,0.17,0.011,0.012,7.97419807,2.038E-05,2.038E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-524,730,,,0.02,0.081,0.081,1.09,0.04,0.04,1.1,0.06,0.08,3.02,-1.34,1.67,6014,86.17,75.23
Kepler-524 c,,,,,,,0.086,0.006,0.007,1.88897906,1.07E-05,1.07E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-524,730,,,0.02,0.081,0.081,1.09,0.04,0.04,1.1,0.06,0.08,3.02,-1.34,1.67,6014,86.17,75.23
Kepler-525 b,,,,,,,0.235,0.046,0.034,18.68404933,5.589E-05,5.589E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-525,566,,,0.11,0.082,0.085,0.95,0.04,0.04,1.15,0.18,0.16,10.47,-4.47,2.2,5573,79.46,77.72
Kepler-526 b,,,,,,,0.178,0.015,0.014,5.45849832,9.07E-06,9.07E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-526,504,,,0.34,0.069,0.07,1.15,0.04,0.04,1.14,0.06,0.07,2.14,-0.832,1.31,5894,84.44,80.86
Kepler-527 b,,,,,,,0.253,0.041,0.12,13.28535633,2.409E-05,2.409E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-527,901,,,0.03,0.16,0.122,1.28,0.12,0.22,1.45,0.24,0.69,2.4,-0.685,0.727,6388,136.67,115.33
Kepler-528 b,,,,,,,0.186,0.017,0.026,19.78297415,6.532E-05,6.532E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-528,711,,,0.02,0.098,0.09,1.01,0.04,0.04,1.06,0.1,0.15,5.5,-2.97,2.3,5807,81.11,96.43
Kepler-529 b,,,,,,,0.166,0.015,0.022,1.98035766,2.31E-06,2.31E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-529,787,,,-0.1,0.122,0.115,1.07,0.06,0.06,1.14,0.1,0.15,3.98,-1.89,1.41,6087,64.04,70.08
Kepler-529 c,,,,,,,0.178,0.019,0.037,12.8345022,3.659E-05,3.659E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-529,787,,,-0.1,0.122,0.115,1.07,0.06,0.06,1.14,0.1,0.15,3.98,-1.89,1.41,6087,64.04,70.08
Kepler-53 b,18.41,18.41,0,,,,0.258,,,18.6489525,0.00016,0.00016,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-53,1420.1,67.44,67.44,,,,0.98,,,0.89,,,,,,5858,,
Kepler-53 c,15.74,,,,,,0.283,,,38.5583038,0.00041,0.00041,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-53,1420.1,67.44,67.44,,,,0.98,,,0.89,,,,,,5858,,
Kepler-53 d,,,,,,,0.189,0.094,0.094,9.751962,7.7E-05,7.7E-05,0.091,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-53,1420.1,67.44,67.44,,,,0.98,,,0.89,,,,,,5858,,
Kepler-530 b,,,,,,,0.269,0.009,0.015,39.30941904,4.834E-05,4.834E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-530,464,,,-0.08,0.093,0.098,0.97,0.03,0.03,0.89,0.03,0.03,1.78,-0.493,0.919,5697,50.16,56.57
Kepler-531 b,,,,,,,0.248,0.017,0.007,29.88485741,3.246E-05,3.246E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-531,254,,,-0.03,0.106,0.103,0.78,0.03,0.03,0.75,0.02,0.02,7.76,-4.9,4.65,4893,49.34,47.74
Kepler-532 b,,,,,,,0.229,0.012,0.019,12.92491623,1.23E-05,1.23E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-532,325,,,0,0.105,0.107,0.87,0.03,0.03,0.79,0.02,0.02,2,-0.621,1.35,5192,82.15,82.8
Kepler-533 b,,,,,,,0.302,0.029,0.007,28.51120525,2.321E-05,2.321E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-533,305,,,0.01,0.101,0.104,0.78,0.03,0.02,0.72,0.02,0.01,3.24,-1.53,2.75,4758,40.01,53.5
Kepler-534 b,,,,,,,0.2,0.006,0.007,15.95994513,2.216E-05,2.216E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-534,473,,,0.01,0.081,0.08,1.05,0.03,0.03,0.98,0.03,0.03,1.58,-0.329,0.664,5884,76.49,73.37
Kepler-535 b,,,,,,,0.211,0.019,0.029,4.90332155,4.54E-06,4.54E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-535,678,,,0.13,0.075,0.082,1.18,0.04,0.06,1.27,0.11,0.18,3.24,-1.28,0.857,6123,69.56,74.81
Kepler-536 b,,,,,,,0.277,0.02,0.034,1.8270823,4.4E-07,4.4E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-536,446,,,0,0.178,0.147,0.92,0.06,0.05,0.89,0.06,0.11,4.79,-3.04,5.61,5524,143.16,91.48
Kepler-537 b,,,,,,,0.126,0.004,0.005,3.24755522,5.26E-06,5.26E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-537,465,,,0.23,0.057,0.062,1.07,0.03,0.03,0.99,0.03,0.03,1.45,-0.329,0.712,5763,50.52,62.32
Kepler-538 b,0.03335,0.00755,0.00787,,,,0.198,0.003,0.004,81.73778,0.00013,0.00013,0.4669,0.009,0.0087,0.041,0.029,0.034,89.73,0.06,0.14,2016,140,90,140,,,,,,,,Primary Transit,Kepler-538,156.66,0.69,0.71,-0.03,0.08,0.08,0.89,0.04,0.05,0.87,0.01,0.01,5.3,-3,2.4,5547,50,50
Kepler-539 b,0.97,0.29,0.29,,,,0.747,0.016,0.016,125.63243,0.00071,0.00071,0.4988,0.0054,0.0054,0.39,,,89.845,0.086,0.086,2016,,,,,,,,,,,Primary Transit,Kepler-539,310.01,3.56,3.56,-0.01,0.07,0.07,1.05,0.04,0.04,0.95,0.02,0.02,1.1,0.7,0.1,5820,80,80
Kepler-539 c,2.4,1.2,1.2,,,,,,,1000,0, ,2.42,0.51,0.5,0.5,0.1,0.1,97.92,0.68,59,2016,254.91,88.64,88.63,,,,,,,,TTV,Kepler-539,310.01,3.56,3.56,-0.01,0.07,0.07,1.05,0.04,0.04,0.95,0.02,0.02,1.1,0.7,0.1,5820,80,80
Kepler-54 b,0.92,,,,,,0.187,,,8.0109434,6.9E-05,6.9E-05,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-54,273.8,2.94,2.94,,,,0.51,,,0.55,0.02,0.02,,,,4252,100,100
Kepler-54 c,0.37,,,,,,0.11,,,12.0717249,0.00029,0.00029,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-54,273.8,2.94,2.94,,,,0.51,,,0.55,0.02,0.02,,,,4252,100,100
Kepler-54 d,,,,,,,0.136,0.007,0.007,20.995694,0.000143,0.000143,0.126,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-54,273.8,2.94,2.94,,,,0.51,,,0.55,0.02,0.02,,,,4252,100,100
Kepler-540 b,,,,,,,0.242,0.023,0.034,172.7049784,0.0005356,0.0005356,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-540,350,,,-0.1,0.124,0.111,1.02,0.05,0.06,1.08,0.1,0.15,4.9,-2.7,1.83,5946,63.84,77.07
Kepler-541 b,,,,,,,0.3,0.05,0.052,5.08005848,1.338E-05,1.338E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-541,1020,,,0.07,0.057,0.104,1.41,0.16,0.12,2.06,0.33,0.32,3.09,-0.61,1.09,6166,99.75,102.75
Kepler-542 b,,,,,,,0.14,0.01,0.009,13.14497566,3.491E-05,3.491E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-542,439,,,0.02,0.102,0.102,0.93,0.04,0.04,0.9,0.04,0.06,4.57,-2.66,3.67,5526,59.55,76.12
Kepler-543 b,,,,,,,0.223,0.023,0.011,13.89961966,1.102E-05,1.102E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-543,212,,,-0.19,0.109,0.148,0.7,0.04,0.05,0.67,0.03,0.03,5.75,-4.27,6.3,4671,76.72,85.64
Kepler-544 b,,,,,,,0.189,0.012,0.017,21.41616926,8.095E-05,8.095E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-544,797,,,0.02,0.077,0.078,1.16,0.04,0.04,1.22,0.08,0.11,2.63,-0.944,0.959,6206,58.72,68.1
Kepler-545 b,,,,,,,0.24,0.019,0.027,13.24934059,2.104E-05,2.104E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-545,831,,,0.03,0.089,0.09,1.04,0.04,0.04,1.07,0.08,0.12,4.47,-2.27,1.92,5882,64.41,77.41
Kepler-546 b,,,,,,,0.624,0.069,0.172,4.14702026,8.8E-07,8.8E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-546,896,,,0.14,0.153,0.156,1.11,0.07,0.11,1.15,0.13,0.32,3.31,-1.6,1.62,5967,130.13,92.74
Kepler-547 b,,,,,,,0.357,0.028,0.012,6.01038429,1.57E-06,1.57E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-547,361,,,0.01,0.179,0.161,0.78,0.04,0.03,0.73,0.04,0.02,2.88,-1.42,6.53,4828,46.81,40.1
Kepler-548 b,,,,,,,1.07,0.098,0.195,4.45419434,3.8E-07,3.8E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-548,776,,,0,0.169,0.135,0.93,0.07,0.09,0.9,0.08,0.16,4.37,-2.66,5.08,5535,230.38,265.27
Kepler-549 b,,,,,,,0.229,0.015,0.021,42.9495649,0.0001543,0.0001543,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-549,648,,,-0.03,0.166,0.147,0.88,0.05,0.04,0.84,0.05,0.07,4.57,-2.85,6.44,5360,72.9,66.88
Kepler-549 c,,,,,,,0.261,0.053,0.022,117.040498,0.001777,0.001777,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-549,648,,,-0.03,0.166,0.147,0.88,0.05,0.04,0.84,0.05,0.07,4.57,-2.85,6.44,5360,72.9,66.88
Kepler-55 b,1.49,,,,,,0.217,,,27.9481449,0.00024,0.00024,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-55,588.47,9.69,9.69,,,,0.62,,,0.62,0.03,0.03,,,,4503,100,100
Kepler-55 c,1.11,,,,,,0.197,,,42.1516418,5.3E-05,5.3E-05,,,,,,,,,,2012,,,,,,,,,,,Primary Transit,Kepler-55,588.47,9.69,9.69,,,,0.62,,,0.62,0.03,0.03,,,,4503,100,100
Kepler-55 d,,,,,,,0.142,0.008,0.008,2.211099,4E-06,4E-06,0.029,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-55,588.47,9.69,9.69,,,,0.62,,,0.62,0.03,0.03,,,,4503,100,100
Kepler-55 e,,,,,,,0.138,0.021,0.021,4.617534,2.1E-05,2.1E-05,0.048,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-55,588.47,9.69,9.69,,,,0.62,,,0.62,0.03,0.03,,,,4503,100,100
Kepler-55 f,,,,,,,0.142,0.009,0.009,10.198545,4.5E-05,4.5E-05,0.081,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-55,588.47,9.69,9.69,,,,0.62,,,0.62,0.03,0.03,,,,4503,100,100
Kepler-550 b,,,,,,,0.394,0.024,0.03,8.60010411,4.25E-06,4.25E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-550,563,,,-0.02,0.176,0.152,0.87,0.05,0.04,0.83,0.05,0.06,4.68,-2.88,6.11,5322,122.84,98.03
Kepler-551 b,,,,,,,0.244,0.013,0.022,12.3764661,1.298E-05,1.298E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-551,312,,,-0.09,0.094,0.113,0.65,0.03,0.03,0.63,0.02,0.02,3.8,-2.1,4.77,4286,34.92,37.81
Kepler-552 b,,,,,,,0.352,0.051,0.073,5.26341577,2.9E-06,2.9E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-552,834,,,0.01,0.171,0.131,1.03,0.06,0.06,1.04,0.1,0.22,3.89,-2.15,2.9,5863,100.72,103.85
Kepler-553 b,,,,,,,0.413,0.016,0.012,4.03046804,1.64E-06,1.64E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-553,725,,,0.21,0.094,0.081,0.92,0.03,0.03,0.85,0.02,0.02,2.88,-1.39,2.41,5266,74.44,88.28
Kepler-553 c,,,,,,,0.999,0.028,0.029,328.2399546,0.0003646,0.0003646,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-553,725,,,0.21,0.094,0.081,0.92,0.03,0.03,0.85,0.02,0.02,2.88,-1.39,2.41,5266,74.44,88.28
Kepler-554 b,,,,,,,0.383,0.019,0.024,1.90220856,4.1E-07,4.1E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-554,642,,,0.14,0.095,0.098,0.93,0.03,0.04,0.92,0.04,0.06,5.62,-3.44,3.95,5447,66.56,76.54
Kepler-555 b,,,,,,,0.252,0.026,0.05,16.21775407,2.89E-05,2.89E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-555,772,,,0,0.173,0.14,1.03,0.07,0.07,1.04,0.1,0.21,3.89,-2.2,2.6,5894,162.81,117.98
Kepler-556 b,,,,,,,0.2,0.011,0.018,11.72292176,2.381E-05,2.381E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-556,729,,,0.03,0.101,0.101,1,0.04,0.03,0.98,0.05,0.08,4.17,-2.22,2.77,5740,49.06,57.53
Kepler-557 b,,,,,,,0.238,0.034,0.071,3.70598955,4.87E-06,4.87E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-557,1126,,,0.02,0.16,0.129,1.11,0.09,0.12,1.16,0.16,0.35,3.24,-1.45,1.85,6068,199.33,151.79
