# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
HD 166724 b,,,,3.53,0.11,0.11,,,,8100,,,5.42,0.43,0.43,0.734,0.02,0.02,,,,2011,202.3,3.6,3.6,2453212,556,556,,,,,Radial Velocity,HD 166724,42.3,0.9,0.9,,,,,,,,,,,,,,,
HD 167042 b,,,,1.6,,,,,,416.1,4,4,1.3,,,0.03,0.04,0.04,,,,2007,34,40,40,2453330,120,120,,,,,Radial Velocity,HD 167042,50,,,0.05,0.06,0.06,1.64,0.13,0.13,4.3,0.07,0.07,2.2,1,1,5020,75,75
HD 168443 b,,,,7.659,0.0975,0.0975,,,,58.11247,0.0003,0.0003,0.2931,0.00181,0.00181,0.52883,0.00103,0.00103,,,,1998,172.923,0.139,0.139,2455626.199,0.024,0.024,,,,,Radial Velocity,HD 168443,37.38,1.26,1.26,0.04,0.03,0.03,0.995,0.019,0.019,1.51,0.06,0.06,9.8,1,1,5591,44,44
HD 168443 c,29.463,6.128,12.184,17.193,0.21,0.21,,,,1749.83,0.57,0.57,2.8373,0.018,0.018,0.2113,0.0017,0.0017,35.7,11,11,2001,64.87,0.51,0.51,2455521.3,2.2,2.2,,,,,Radial Velocity,HD 168443,37.38,1.26,1.26,0.04,0.03,0.03,0.995,0.019,0.019,1.51,0.06,0.06,9.8,1,1,5591,44,44
HD 168746 b,,,,0.23,,,,,,6.403,0.001,0.001,0.065,,,0.081,0.029,0.029,,,,2002,16.3,20.88,20.88,2451994.7,0.4,0.4,,,,,Radial Velocity,HD 168746,43.12,1.8,1.8,-0.06,0.05,0.05,0.88,0.01,0.01,1.12,,,3.75,,,5610,30,30
HD 1690 b,,,,6.1,0.9,0.9,,,,533,1.7,1.7,1.3,0.02,0.02,0.64,0.04,0.04,,,,2010,122,8,8,54449,5,5,,,,,Radial Velocity,HD 1690,319,100,100,-0.32,0.06,0.06,1.09,0.15,0.15,16.7,3.6,3.6,6.7,3.2,3.2,4393,85,85
HD 169142 b,2.2,1.2,1.8,,,,,,,,,,36.4,,,,,,,,,2014,,,,,,,,,,,Imaging,HD169142,117,,,,,,1.65,,,1.6,,,0.012,,,7650,150,150
HD 169830 b,,,,2.88,,,,,,225.62,0.22,0.22,0.81,,,0.31,0.01,0.01,,,,2000,148,2,2,51923,1,1,,,,,Radial Velocity,HD 169830,36.32,,,0.21,,,1.4,,,1.84,,,4.95,,,6266,,
HD 169830 c,,,,4.04,,,,,,2102,264,264,3.6,,,0.33,0.02,0.02,,,,2003,252,8,8,52516,25,25,,,,,Radial Velocity,HD 169830,36.32,,,0.21,,,1.4,,,1.84,,,4.95,,,6266,,
HD 170469 b,,,,0.67,,,,,,1145,18,18,2.24,,,0.11,0.08,0.08,,,,2007,34,19,19,11669,21,21,,,,,Radial Velocity,HD 170469,64.97,,,0.3,0.03,0.03,1.14,0.02,0.02,1.22,0.07,0.07,6.7,1.1,1.1,5810,44,44
HD 17092 b,,,,4.6,0.3,0.3,,,,359.9,2.4,2.4,1.29,0.05,0.05,0.166,0.052,0.052,,,,2007,347.4,13.4,13.4,52969.5,12.3,12.3,,,,,Radial Velocity,HD 17092,109,55,55,0.18,0.08,0.08,2.3,0.3,0.3,,,,,,,4650,35,35
HD 171028 b,,,,1.98,,,,,,550,3,3,1.32,,,0.59,0.01,0.01,,,,2007,304,1,1,2454187,1,1,,,,,Radial Velocity,HD 171028,90,7.8,7.8,-0.49,0.02,0.02,0.99,0.08,0.08,1.95,0.26,0.26,8,2,2,5663,20,20
HD 171238 b,,,,2.6,0.15,0.15,,,,1523,45,45,2.54,0.06,0.06,0.4,0.065,0.065,,,,2009,47,9.8,9.8,5062,20,20,,,,,Radial Velocity,HD 171238,50.28,2.91,2.91,0.17,0.007,0.007,0.943,0.033,0.033,,,,4.92,4.11,4.11,5467,55,55
HD 17156 b,3.195,0.034,0.034,3.191,0.033,0.033,1.095,0.02,0.02,21.2163979,1.59E-05,1.59E-05,0.1623,0.002,0.002,0.6768,0.0034,0.0034,87.21,0.31,0.31,2007,121.71,0.43,0.43,3738.529,0.5,0.5,,,,,Primary Transit,HD 17156,78.24,,,0.24,0.05,0.05,1.275,0.018,0.018,1.508,0.021,0.021,3.38,0.47,0.47,6079,80,80
HD 173416 b,,,,2.7,0.3,0.3,,,,323.6,2.2,2.2,1.16,0.06,0.06,0.21,0.04,0.04,,,,2009,254,11,11,3465.8,8.3,8.3,,,,,Radial Velocity,HD 173416,135,9.6,9.6,,,,2,0.3,0.3,13.5,0.9,0.9,,,,4683,100,100
HD 175167 b,,,,7.8,3.5,3.5,,,,1290,22,22,2.4,0.05,0.05,0.54,0.09,0.09,,,,2010,342,9,9,2453598,48,48,,,,,Radial Velocity,HD 175167,67.02,4.09,4.09,0.19,,,1.102,,,,,,,,,,,
HD 175370 b,,,,4.6,1,1,,,,349.5,4.5,4.5,0.98,0.05,0.05,0.22,0.1,0.1,,,,2016,162,28,28,2456267,30,30,,,,,Radial Velocity,HD 175370,272,33,33,-0.52,0.07,0.07,1.02,0.16,0.16,23.5,3.4,3.4,8.7,6,5,4301,43,43
HD 175541 b,,,,0.61,,,,,,297.3,6,6,1.03,,,0.33,0.2,0.2,,,,2007,183,30,30,2450213,20,20,,,,,Radial Velocity,HD 175541,128,,,-0.07,0.04,0.04,1.65,,,3.85,,,1.9,1,1,5060,44,44
